archivo,split,motivo
T10_d05_046_a_1_jpg.rf.da3yxvwUY28lemqFhVao.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d05_122_b_1_jpg.rf.vzj18WkKSKtvhI5mW06Q.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d06_069_b_1_jpg.rf.CWMqLVwLmBvINx9HMHkC.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d06_096_b_1_jpg.rf.F3nuHkylswEEjJghcCIm.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d07_047_b_1_jpg.rf.PQjWHiagBYkkmP5v5TKv.jpg,train,palta diminuta (0.02% de la imagen); defecto mayor que la palta (ratio 109.43)
T10_d08_338_a_1_jpg.rf.RM4kGwDo9kQrnJfyuK7H.jpg,train,defecto rectangular (respaldo de SAM2)
T20_d01_177_a_1_jpg.rf.AaURspyXxf03gFEiieQg.jpg,train,palta diminuta (0.02% de la imagen); defecto mayor que la palta (ratio 243.66)
T20_d03_222_b_1_jpg.rf.plw3Ki05vNPRlMgWtE9W.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d02_227_b_2_jpg.rf.lA54FmXITApzMeTzhbr5.jpg,train,palta diminuta (0.59% de la imagen); defecto mayor que la palta (ratio 3.68)
T10_d06_233_b_2_jpg.rf.N4vIuCINmX4R9md3abhJ.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d08_181_b_2_jpg.rf.dRPkkcnF0CBlBk4lhMZd.jpg,train,palta diminuta (0.11% de la imagen); defecto mayor que la palta (ratio 2.96)
T10_d09_145_a_2_jpg.rf.MqOR3SQ7kbYbFa90uZBL.jpg,train,palta diminuta (0.27% de la imagen); defecto mayor que la palta (ratio 20.77)
T10_d09_337_b_2_jpg.rf.YohjPB4qjuKK7N9R1Wo5.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d10_013_a_2_jpg.rf.1AqEmKr0sH2pmNAzu0u7.jpg,train,palta diminuta (0.03% de la imagen)
T10_d10_133_a_2_jpg.rf.TfToWOU7i2eDcTfsCiDl.jpg,train,defecto mayor que la palta (ratio 1.18)
T10_d10_400_a_2_jpg.rf.fvMdKfHPqICXCH8elKvM.jpg,train,defecto rectangular (respaldo de SAM2)
Tam_d03_119_a_2_jpg.rf.shGrZhSDnMjeSUvNp7Yt.jpg,train,palta diminuta (2.04% de la imagen); defecto mayor que la palta (ratio 1.65)
T10_d11_414_b_3_jpg.rf.1DQHGPsOVklNLfFaJHvb.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d14_138_b_3_jpg.rf.mMYTYlGgGd8S0wZdUf5Z.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d15_414_b_3_jpg.rf.BGy4Bup10EV5OEGQHm7O.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d17_061_a_4_jpg.rf.IE5nMA2fumxKjJBGMPXG.jpg,train,defecto mayor que la palta (ratio 1.71); defecto rectangular (respaldo de SAM2)
T10_d17_382_a_4_jpg.rf.shvsJ226ozteSqmPpWrI.jpg,train,palta diminuta (1.70% de la imagen)
T10_d19_414_b_4_jpg.rf.bc7hwarJ4qQ6MM7Yf5Qb.jpg,train,defecto rectangular (respaldo de SAM2)
T20_d09_435_b_4_jpg.rf.Bv9GunTCk1STFuHd3VrG.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d20_094_b_5_jpg.rf.zqGxEer4KMEph6r8ziLL.jpg,train,palta diminuta (0.12% de la imagen); defecto mayor que la palta (ratio 2.77)
T10_d22_003_a_5_jpg.rf.ON8gTrGADx6gpwFste4a.jpg,train,palta diminuta (0.03% de la imagen); defecto mayor que la palta (ratio 63.30)
T10_d26_206_a_5_jpg.rf.FdBULfsXZXaBy5GVX16C.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d26_420_a_5_jpg.rf.uc3YgVmiLUyyTwGLKDjg.jpg,train,palta diminuta (0.44% de la imagen); defecto mayor que la palta (ratio 2.30)
T20_d10_259_b_5_jpg.rf.dSqKUsyrfhLs7fZJr3BW.jpg,train,defecto rectangular (respaldo de SAM2)
Tam_d10_404_b_5_jpg.rf.VKxYOWRRGfWokEe7WF7K.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d01_406_a_1_jpg.rf.9UDqyGVSTssijVB2vmjt.jpg,val,palta diminuta (0.02% de la imagen); defecto mayor que la palta (ratio 371.49)
T10_d05_072_b_1_jpg.rf.0OqwAKJCPaqbufCEYNKI.jpg,val,palta diminuta (0.02% de la imagen); defecto mayor que la palta (ratio 70.65)
Tam_d03_474_b_1_jpg.rf.cqFuzDhIJYCKyH81eElB.jpg,val,palta diminuta (1.28% de la imagen); defecto mayor que la palta (ratio 1.27)
T10_d09_478_a_2_jpg.rf.Xw1I1RdDrdEbDejqOn7T.jpg,val,palta diminuta (0.01% de la imagen); defecto mayor que la palta (ratio 56.09)
Tam_d06_474_a_3_jpg.rf.VQEBwnKV4i8zutK91Z27.jpg,val,defecto rectangular (respaldo de SAM2)
Tam_d06_474_b_3_jpg.rf.3JZBUCPUlsDwna5BZTOl.jpg,val,palta diminuta (1.09% de la imagen); defecto mayor que la palta (ratio 1.14)
T20_d06_006_b_4_jpg.rf.6xT6RO1t3Z7Xxqz99SEW.jpg,val,defecto rectangular (respaldo de SAM2)
